client_code,client_name,source_number,destination_number,direction,service_type,success,carrier,timestamp
CLT1,Client1,17143970607,14025626898,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:15
CLT3,Client1,18776383303,19135785111,INBOUND,SMS,TRUE,Carrier A,31/12/2020 23:44:29
CLT3,Client1,19072327116,14239008599,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:58
CLT3,Client1,15056759036,17704254000,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:01:30
CLT3,Client1,14239990570,16194401000,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:07:36
CLT1,Client1,19493002575,16123920390,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:57
CLT2,Client2,18776383303,14806966384,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:05:29
CLT1,Client1,13034561481,14806966384,INBOUND,SMS,TRUE,Carrier A,31/12/2020 23:52:50
CLT1,Client1,16197558541,18662023003,OUTBOUND,SMS,FALSE,Carrier C,31/12/2020 23:27:14
CLT1,Client1,19138280890,18656370111,INBOUND,SMS,FALSE,Carrier C,01/01/2021 00:02:17
CLT3,Client1,12393600378,18008518606,INBOUND,SMS,FALSE,Carrier C,01/01/2021 00:01:55
CLT1,Client1,12159538568,14232421941,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:04:59
CLT1,Client1,19313347091,12039964872,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:03:42
CLT1,Client1,12159538568,14239008599,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:00:32
CLT2,Client2,17636399130,13189001336,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:03:07
CLT1,Client1,13056671206,19315264134,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:07:27
CLT3,Client1,17064104116,18177983451,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:39
CLT1,Client1,18167384093,18774098881,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:06:43
CLT3,Client1,15054883345,16027531170,OUTBOUND,SMS,TRUE,Carrier B,31/12/2020 23:52:09
CLT2,Client2,16055533108,17148943322,OUTBOUND,SMS,FALSE,Carrier B,31/12/2020 23:57:12
CLT1,Client1,18655913873,18017814700,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:00:01
CLT3,Client1,18178067482,16123920390,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:01
CLT3,Client1,18652534657,15204210687,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:07:20
CLT2,Client2,16014733777,18656370111,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:23
CLT3,Client1,19129999292,18002152055,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:14
CLT2,Client2,18564702076,12153222222,INBOUND,SMS,FALSE,Carrier B,01/01/2021 00:06:54
CLT3,Client1,12159538568,18002152055,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:58
CLT1,Client1,16197558541,18008518606,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:11
CLT3,Client1,16015944905,17734409166,INBOUND,SMS,FALSE,Carrier C,01/01/2021 00:03:25
CLT1,Client1,18004644000,14239008599,OUTBOUND,SMS,FALSE,Carrier A,31/12/2020 23:59:18
CLT2,Client2,14124960063,17085945622,OUTBOUND,SMS,FALSE,Carrier B,01/01/2021 00:01:19
CLT3,Client1,14805098371,18007320797,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:06:14
CLT3,Client1,12709084254,12705575114,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:05:14
CLT2,Client2,18652534657,17066135090,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:37
CLT1,Client1,17603583242,16123920390,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:16
CLT3,Client1,15054091210,12705575114,OUTBOUND,SMS,TRUE,Carrier B,31/12/2020 23:55:31
CLT2,Client2,18663164146,13523457070,OUTBOUND,SMS,FALSE,Carrier C,31/12/2020 23:48:47
CLT1,Client1,16788997703,18007320797,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:00:25
CLT3,Client1,12709084254,18774633486,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:40
CLT2,Client2,12159538568,17045436793,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:04:04
CLT3,Client1,18663164146,17704761122,INBOUND,SMS,TRUE,Carrier B,31/12/2020 23:59:53
CLT2,Client2,16124581995,15707043083,OUTBOUND,SMS,FALSE,Carrier C,01/01/2021 00:01:13
CLT1,Client1,15203714012,16123920390,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:05:35
CLT3,Client1,16013975133,18154845575,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:04:27
CLT1,Client1,12709084254,15707043083,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:00:26
CLT3,Client1,17065218871,15204210687,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:05:13
CLT3,Client1,19319790528,13212749659,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:00:30
CLT3,Client1,18645565611,18882764405,OUTBOUND,SMS,TRUE,Carrier A,31/12/2020 23:57:09
CLT3,Client1,14072196482,18017814700,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:28
CLT2,Client2,12709084254,19402024940,OUTBOUND,SMS,FALSE,Carrier B,01/01/2021 00:06:52
CLT3,Client1,17049897361,15707043083,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:14
CLT2,Client2,15133760824,18553778405,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:45
CLT2,Client2,16016786211,18882764405,OUTBOUND,SMS,TRUE,Carrier B,31/12/2020 23:57:32
CLT1,Client1,12709084254,15204210687,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:00:16
CLT1,Client1,13526814683,18017814700,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:52
CLT1,Client1,12392305077,14239008599,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:24
CLT2,Client2,19072327116,15133811290,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:05:11
CLT2,Client2,16013316010,14235846061,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:00:52
CLT3,Client1,17088089850,17139609800,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:06
CLT3,Client1,15207057121,12159538568,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:18
CLT2,Client2,19176016229,17045436793,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:33
CLT3,Client1,14235033660,15204210687,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:00:59
CLT2,Client2,12159538568,12057596791,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:09
CLT2,Client2,12393600323,14122350355,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:56
CLT3,Client1,14234764676,17734409166,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:58:14
CLT3,Client1,14072196482,16194401000,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:41
CLT1,Client1,15708236836,17045436793,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:00
CLT3,Client1,12392560998,17147021520,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:59
CLT1,Client1,18028554457,18774098881,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:06
CLT1,Client1,14806780220,15595140051,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:06:02
CLT3,Client1,12159538568,18885390005,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:01:38
CLT3,Client1,12392550301,17865220651,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:03:06
CLT3,Client1,19792291525,12153222222,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:04:37
CLT2,Client2,12709084254,18885246151,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:06
CLT1,Client1,16788997703,17045436793,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:04:46
CLT3,Client1,16013167018,12144530313,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:18
CLT2,Client2,12316834513,12705575114,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:35
CLT3,Client1,12316834513,14239008599,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:49:01
CLT3,Client1,12709084254,18553778405,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:15
CLT2,Client2,14806780220,12705575114,INBOUND,SMS,FALSE,Carrier B,31/12/2020 23:58:01
CLT3,Client1,18655913873,17045436793,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:03:15
CLT2,Client2,15708236836,19402024940,INBOUND,SMS,TRUE,Carrier C,31/12/2020 23:59:49
CLT1,Client1,17606794020,19044871965,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:56
CLT1,Client1,17082892591,12142890948,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:59:34
CLT3,Client1,14352263984,14702029230,INBOUND,SMS,TRUE,Carrier C,31/12/2020 23:58:04
CLT1,Client1,15708236836,15125632467,INBOUND,SMS,FALSE,Carrier B,01/01/2021 00:07:03
CLT2,Client2,15708236836,12675691549,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:21
CLT3,Client1,18017101181,12705575114,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:04:18
CLT1,Client1,18017101181,15636765678,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:33
CLT3,Client1,17143970607,14806554400,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:03:53
CLT3,Client1,13092223964,17088089850,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:28
CLT3,Client1,16017503176,16016830635,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:20
CLT3,Client1,12083808742,19092355500,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:07
CLT1,Client1,13238071008,14239008599,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:41
CLT1,Client1,19282331622,19033954770,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:50
CLT1,Client1,12393600323,12567493798,OUTBOUND,SMS,TRUE,Carrier B,31/12/2020 23:54:46
CLT3,Client1,12159538568,13529784363,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:03
CLT3,Client1,12709084254,15204210687,OUTBOUND,SMS,TRUE,Carrier A,31/12/2020 23:58:13
CLT3,Client1,12159538568,16016830635,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:26
CLT3,Client1,15204182051,15595140051,INBOUND,SMS,FALSE,Carrier B,01/01/2021 00:02:51
CLT2,Client2,13526814683,13094284760,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:57:36
CLT2,Client2,19286517963,12705575114,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:53
CLT1,Client1,19803395703,15707043083,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:17
CLT3,Client1,19312686516,18774648815,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:06:50
CLT1,Client1,15168588111,14243850230,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:05:53
CLT3,Client1,16197558541,14235846061,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:17
CLT1,Client1,15708236836,15707043083,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:57:35
CLT1,Client1,12534950110,15403276695,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:01:30
CLT2,Client2,18645565611,13524145062,OUTBOUND,SMS,FALSE,Carrier B,01/01/2021 00:01:40
CLT3,Client1,15203714012,14807782200,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:26
CLT1,Client1,16122051188,18017814700,OUTBOUND,SMS,TRUE,Carrier B,31/12/2020 23:59:54
CLT2,Client2,19129999838,18553778405,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:04:33
CLT3,Client1,12159538568,15204210687,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:12
CLT2,Client2,12709084254,18015634000,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:00:58
CLT3,Client1,15708236836,12675691549,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:02:03
CLT3,Client1,19366524515,14807782200,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:02:38
CLT2,Client2,16013167018,17632443367,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:32
CLT2,Client2,18133697854,18002152055,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:03:23
CLT2,Client2,12057597317,13479235101,OUTBOUND,SMS,FALSE,Carrier A,01/01/2021 00:02:33
CLT2,Client2,16016728203,12705575114,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:02:38
CLT2,Client2,18028554457,14079825705,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:00:42
CLT3,Client1,19402220236,18014848755,OUTBOUND,SMS,FALSE,Carrier C,01/01/2021 00:06:16
CLT2,Client2,17862246614,15707043083,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:00:26
CLT3,Client1,19803395703,15204210687,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:04:22
CLT3,Client1,12709084254,17045436793,INBOUND,SMS,TRUE,Carrier B,31/12/2020 23:59:39
CLT1,Client1,12392305411,12705575114,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:05:47
CLT3,Client1,16518082858,12703668651,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:58:33
CLT2,Client2,15209936601,19314510705,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:05:12
CLT2,Client2,18776383303,18656370111,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:05:25
CLT3,Client1,12394646229,19794181834,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:58:28
CLT2,Client2,17203195925,17045436793,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:03:15
CLT2,Client2,18776383303,19417630887,OUTBOUND,SMS,FALSE,Carrier C,31/12/2020 23:55:27
CLT1,Client1,12159538568,14239008599,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:03:18
CLT1,Client1,18506333266,18017814700,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:00:49
CLT3,Client1,15124615033,14806554400,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:00:16
CLT3,Client1,14233139515,12705575114,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:13
CLT3,Client1,14352263984,15204210687,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:05:55
CLT3,Client1,12534950110,18002152055,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:30
CLT3,Client1,19408083979,18326292122,INBOUND,SMS,TRUE,Carrier C,31/12/2020 23:54:14
CLT3,Client1,17632482646,13094281949,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:15
CLT1,Client1,18509984009,18005009164,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:59:32
CLT3,Client1,17065104338,18553778405,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:06:50
CLT3,Client1,14438927728,14239008599,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:07:42
CLT3,Client1,12159538568,19049940544,INBOUND,SMS,TRUE,Carrier C,31/12/2020 23:58:14
CLT1,Client1,14028028258,15042722585,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:18
CLT3,Client1,19129999838,18774098881,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:05:14
CLT3,Client1,12392560998,17147021520,OUTBOUND,SMS,TRUE,Carrier A,31/12/2020 23:59:40
CLT3,Client1,13862694302,18502257510,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:01:24
CLT1,Client1,12709084254,12089042098,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:24
CLT2,Client2,12159538568,12142890948,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:58
CLT2,Client2,19493002575,17139609800,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:07:13
CLT2,Client2,16014733777,18774633486,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:28
CLT1,Client1,19285515376,12705575114,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:02:18
CLT3,Client1,17083986237,18007320797,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:06:55
CLT1,Client1,15048587135,18552322012,OUTBOUND,SMS,TRUE,Carrier A,31/12/2020 23:59:48
CLT2,Client2,16576570777,15204210687,INBOUND,SMS,TRUE,Carrier C,31/12/2020 23:58:15
CLT2,Client2,12159538568,16123920390,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:05:40
CLT1,Client1,12159538568,12705575114,INBOUND,SMS,TRUE,Carrier C,01/01/2021 00:05:14
CLT3,Client1,16122023498,19365609898,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:01:27
CLT3,Client1,15203714012,17066135090,OUTBOUND,SMS,TRUE,Carrier B,31/12/2020 23:57:41
CLT2,Client2,18655913873,17205907083,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:04:59
CLT3,Client1,12392560103,18774098881,INBOUND,SMS,TRUE,Carrier B,31/12/2020 23:49:14
CLT3,Client1,12159538568,18005009164,OUTBOUND,SMS,TRUE,Carrier C,31/12/2020 23:58:33
CLT2,Client2,13109279863,18554090012,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:02:29
CLT2,Client2,15042591116,18138026832,OUTBOUND,SMS,TRUE,Carrier B,01/01/2021 00:05:55
CLT1,Client1,19803958325,15707043083,OUTBOUND,SMS,TRUE,Carrier A,01/01/2021 00:03:49
CLT3,Client1,18653354755,16194401000,INBOUND,SMS,TRUE,Carrier A,31/12/2020 23:58:14
CLT1,Client1,13864010004,13212770882,OUTBOUND,SMS,TRUE,Carrier C,01/01/2021 00:01:05
CLT3,Client1,13212749659,13212749659,INBOUND,SMS,TRUE,Carrier A,01/01/2021 00:01:55
CLT1,Client1,13212749659,13212749659,INBOUND,SMS,TRUE,Carrier B,01/01/2021 00:03:31
CLT2,Client2,15042591116,18138026832,OUTBOUND,MMS,TRUE,Carrier B,01/01/2021 00:05:55
CLT1,Client1,19803958325,15707043083,OUTBOUND,MMS,TRUE,Carrier A,01/01/2021 00:03:49
CLT3,Client1,18653354755,16194401000,INBOUND,MMS,TRUE,Carrier A,31/12/2020 23:58:14
CLT1,Client1,13864010004,13212770882,OUTBOUND,MMS,TRUE,Carrier C,01/01/2021 00:01:05
CLT3,Client1,13212749659,13212749659,INBOUND,MMS,TRUE,Carrier A,01/01/2021 00:01:55
CLT1,Client1,13212749659,13212749659,INBOUND,MMS,TRUE,Carrier B,01/01/2021 00:03:31
